stop_id,stop_lat,stop_lon,stop_calle,stop_esquina
8415,-31.45858471531005,-64.22229062260463,Calle Publica S/N,Esq. Calle Publica (Puesto De Guardia)
8416,-31.4589498555185,-64.22020916952962,Calle Publica S/N,Mz. 35 Lote 11
8417,-31.45968344685136,-64.21785796310093,Piamonte 1213,Esq. Ancona
8418,-31.46385266568496,-64.235682492356,Burruyaco 2288,Esq. Colonia Impira
8419,-31.46961199959261,-64.23854065894238,2 De Septiembre S/N,Fte. Crese Regreso
8420,-31.47178807383315,-64.23861369338387,Av Curazao S/N,Rotonda Av. Renault
8421,-31.45848999129361,-64.21502696100342,Cacheuta 4315,Entre Armada Argentina Y Huiliches
8422,-31.45378213724007,-64.21318041789635,Cacheuta 3903,Esq. Trelew
8423,-31.45005264111543,-64.21218987335051,Cacheuta 3600,Esq. Dr. Jose Clemente Lascano
8424,-31.4469575511759,-64.21128708555288,Cacheuta 3403,Esq. Dr. Lazaro Langer
8425,-31.44544460042269,-64.21052161674757,Manuel Baigorria 1150,Entre Cacheuta Y Paso De Los Andes
8426,-31.44466616564872,-64.20712178391081,Pedro De Mendoza 3000,Esq. Dr. Pablo Luis Mirizzi
8427,-31.4429548867643,-64.20728374325397,Pedro De Mendoza 2863,Entre Arq. Ernesto La Padula Y Domingo De Irala
8428,-31.44169500827043,-64.20666186592814,Rodriguez De La Torre 850,Esq. Lord Baden Powel
7999,-31.44195387961325,-64.20411219224306,Av. Naciones Unidas 625,Entre Suecia Y Corro
7665,-31.43160259039464,-64.19091026270613,Av. Ambrosio  Olmos 881,Esq. Independencia
7666,-31.43003527176064,-64.18754680854747,Av. Ambrosio Olmos 679,Entre Chile Y Peredo
7667,-31.42915662809095,-64.18570146852707,Av. Ambrosio  Olmos 535,Plaza España
8429,-31.4258404711464,-64.18364998349266,Bv. Chacabuco 740,Esq. Obispo Oro
8430,-31.42269605044289,-64.18233201926009,Bv. Chacabuco 450,Esq. Bv. Arturo Illia
7307,-31.41635426707091,-64.18696975209714,27 De Abril 174,Esq. Av. Velez Sarsfield
8431,-31.40132427414038,-64.18776333774684,Gral. Bustos 684,Esq. Mariano Fragueiro
8432,-31.40008936666173,-64.1916433947544,Gral. Bustos 990,Esq. Rodriguez Peña
8433,-31.39806491533923,-64.19094543834693,Rodriguez Peña 1392,Esq. Juan De Campillo
