"stop_id","stop_calle","stop_esquina","stop_lon","stop_lat","coord"
7676,"NUEVO MUNDO 663","ESQ. REPUBLICA DE SIRIA",,,"-64.16618248833055,-31.37992821770452,0"
7677,"NUEVO MUNDO","ESQ CAPDEVILA",,,"-64.16732692728652,-31.37902294865997,0"
7678,"HULLUMAN 1894","ESQ. CONCEJAL CABICHE",,,"-64.16795088735515,-31.37733756935455,0"
7679,"LOS TICAS  2580","ESQ. MARTINEZ PAZ",,,"-64.16701636875199,-31.37470926478137,0"
7680,"ENRIQUE MARTINEZ PAZ 357","ESQ. ROBERTO CASEUX",,,"-64.16866618483124,-31.37372342348784,0"
7681,"ENRIQUE MARTINEZ PAZ 223","ESQ. PARRAVICINI",,,"-64.16942601672849,-31.37223255853143,0"
7682,"MUIÑO 175","ESQ. SANCHEZ ARIÑO",,,"-64.16603609749623,-31.37009502871711,0"
7683,"MUIÑO 115","ESQ. CASACUBERTA",,,"-64.16708995444748,-31.36905795461054,0"
7684,"MUIÑO 011","ESQ. J. PODESTA",,,"-64.16862506978232,-31.36776625961973,0"
7685,"JOSE PODESTA S/N","ESQ. S. ROSICH",,,"-64.16805978030165,-31.36704984684209,0"
7686,"JOSE PODESTA S/N","ESQ C. GIMENEZ",,,"-64.16687574350743,-31.36599441998949,0"
7687,"CARLOS GIMENEZ 090","ESQ. CASACUBERTA",,,"-64.16522919873226,-31.36697044671578,0"
7688,"CARLOS GIMENEZ 192","ESQ. S. ARIÑO",,,"-64.16298380206202,-31.36877370558058,0"
7689,"AV. RANCAGUA 4700","PUNTA DE LINEA",-64.1468504389,-31.3478756889,"-64.14763264527079,-31.34750686862779,0"
7690,"CALLE PUBLICA S/N","MANZANA "" 12"" (ESQ. PUBLICA) CDAD. VILLA RETIRO (LINEA 54)",-64.1454878325,-31.3483373724,"-64.14583914703518,-31.34761480803742,0"
7691,"CALLE PUBLICA S/N","MANZANA ""10"" IPEM CDAD VILLA RETIRO (LINEA 54)",-64.1436620726,-31.3484661435,"-64.14387424223502,-31.34777682196817,0"
7692,"CALLE PUBLICA S/N","MANZANA ""15"" (LINEA 54)",-64.1458076052,-31.3487308865,"-64.14690482712915,-31.34883564783867,0"
7693,"CALLE PUBLICA S/N","ESQ. PUBLICA (FTE. CENTRO DE SALUD) CDAD. LOS CUARTETOS (LINEA 54)",-64.1299762225,-31.354648425,"-64.13038250642629,-31.35406279117865,0"
7694,"CALLE PUBLICA S/N","FRENTE COMISARIA. CDAD LOS CUARTETOS (LINEA 54)",-64.1305821266,-31.3548236014,"-64.13150143087535,-31.35494494642335,0"
7695,"CALLE PUBLICA S/N","ESQ PUBLICA (A DOS CUADRAS DE PLAZA CENTRAL) (LINEA 54)",-64.1307617737,-31.3564665314,"-64.13151540555845,-31.35694048255439,0"
7696,"CALLE PUBLICA S/N","ESQ PUBLICA (FTE. IPEM CDAD DE LOS CUARTETOS) (LINEA 54)",-64.13128841,-31.3584340734,"-64.13155761572395,-31.35850663190723,0"
7697,"PUBLICA ESQ COLECTORA","FRENTE FABIRICA DE GUANTES ",-64.1325614178,-31.3620765055,"-64.13303467570705,-31.36225808878349,0"
