stop_id,40.ida,40.reg,41.ida ,41.reg,42.ida,42.reg,43.ida,43.reg,44.ida,44.reg,50.ida,50.reg,51.ida,51.reg,52.ida,52.reg,53.ida,53.reg,54.ida,54.reg,55.ida,55.reg,d50.ida,d50.reg,500,501,600,601
7152,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7153,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7154,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,
7155,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,
7156,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,
7157,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,
7158,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7159,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7160,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7161,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7162,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7163,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7164,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7165,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7166,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7167,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7168,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7169,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7170,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7171,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
7172,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,
7173,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,
7174,,,X,,,,,,,,,,,,,,,,,,X,,X,,,,,
7175,,,X,,,,,,,,,,,,,,,,,,X,,X,,,,,
7176,,,X,,,,,,,,,,,,,,,,,,X,,X,,,,,
7177,,,X,,,,,,,,,,,,,,,,,,X,,X,,X,X,X,X
7178,,,X,,,,,,,,,,,,,,,,,,X,,X,,X,X,X,X
7179,,,X,,,,,,,,,,,,,,,,,,X,,X,,X,X,X,X
7180,,,X,,,,,,,,,,,,,,,,,,X,,X,,X,X,,X
7181,,,X,,,,,,,,,,,,X,,,,,,X,,X,,X,X,X,X
7182,,,X,,,,,,,,,,,,X,,,,,,X,,X,,X,X,X,X
7183,,,,X,,,,,,,,,,,,X,,,,,,X,,X,X,X,X,X
7184,,,,X,,,,,,,,,,,,X,,,,,,X,,X,X,X,X,X
7185,,,,X,,,,,,,,,,,,X,,,,,,X,,X,X,X,X,X
7186,,,,X,,,,,,,,,,,,,,,,,,X,,X,X,,X,X
7187,,,,X,,,,,,,,,,,,,,,,,,X,,X,X,X,X,X
7188,,,,X,,,,,,,,,,,,,,,,,,X,,X,X,,X,X
7189,,,,X,,,,,,,,,,,,,,,,,,X,,X,,,,
7190,,,,X,,,,,,,,,,,,X,,,,,,X,,X,,,,
7191,,,,X,,,,,,,,,,,,X,,,,,,X,,X,,,,
7192,,,,X,,,,,,,,,,,,X,,,,,,X,,X,,,,
7193,,,,X,,,,,,,,,,,,X,,,,,,X,,X,,,,
7194,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7195,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7196,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7197,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7198,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7199,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7200,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7201,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7202,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7203,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7204,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7205,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7206,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7207,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7208,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
7209,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7210,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7211,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7212,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7213,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7214,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7215,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7216,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7217,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7218,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7219,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7220,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7221,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7222,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7223,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7224,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7225,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7226,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7227,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7228,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7229,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7230,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7231,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7232,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7233,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7234,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7235,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7236,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,
7237,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,
7238,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,
7239,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,
7240,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,
7241,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
7242,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,
7243,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,
7244,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,
7245,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,
7246,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,
7247,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,
7248,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
7249,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
7250,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
7251,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
7252,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
7253,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
7254,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
7255,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
7256,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
