"Code","stop_calle","stop_numero","stop_entre","lineas","stop_lat","stop_lon"
"C1581","Martinolli",8831,"San Pedro Nolasco y Pasasje C","13 Ida - 19 Ida - D10 Ida - ",-31.3446,-64.28637
"C1582","Martinolli",8870,"Pasaje C y Diaz Caballero","13 Ida - 19 Ida - D10 Ida - ",-31.34385,-64.28772
"C1583","Martinolli",8928,"Correa y Villegas","13 Ida - 19 Ida - D10 Ida - ",-31.34294,-64.28893
"C1584","Manuel de Falla",9999,"Arias y Vinter = Almaceneros","13 Ida - D10 Ida - ",-31.34054,-64.29024
"C1585","Manuel de Falla",7210,"Vinter y Vazquez = Almaceneros","13 Ida - D10 Ida - ",-31.33849,-64.29022
"C1586","Manuel de Falla",7444,"Vazquez y Ricardo Rojas = Almaceneros","13 Ida - D10 Ida - ",-31.33661,-64.29016
"C1587","Ricardo Rojas",9100,"Manuel de Falla y Seeber = Almaceneros","13 Ida - ",-31.33495,-64.2918
"C1588","Ricardo Rojas",9250,"Seeber y Bruzone = Almaceneros","13 Ida - ",-31.33262,-64.29275
"C1589","Ricardo Rojas",9370,"Ausonia y Laborde = Almaceneros","13 Ida - ",-31.32981,-64.29443
"C1590","Ricardo Rojas",9511,"Arroyito y Los Reartes = Almaceneros","13 Ida - ",-31.32893,-64.29723
"C1591","Ricardo Rojas",9630,"San Marcos Sierra y Jamaica","13 Ida - ",-31.32846,-64.29936
"C1592","Ricardo Rojas",6846,"San Salvador y Jamaica","13 Ida - ",-31.32809,-64.301
"C1593","Ricardo Rojas",9985,"Ricardo Rojas esq. Jamaica","13 Ida - ",-31.32731,-64.30277
"C1594","Ricardo Rojas",9985,"Ricardo Rojas esq. Jamaica","13 Reg - ",-31.32731,-64.30277
"C1595","Ricardo Rojas",9849,"Jamaica y San Salvador","13 Reg - ",-31.32799,-64.30155
"C1596","Ricardo Rojas",9670,"Bell Ville y San Marcos Sierras","13 Reg - ",-31.32852,-64.29923
"C1597","Ricardo Rojas",9500,"San Marcos Sierras y Los Reartes  ","13 Reg - ",-31.32891,-64.29748
"C1598","Ricardo Rojas",9370,"Laborde y Ausonia = Almaceneros","13 Reg - ",-31.32967,-64.29486
"C1599","Ricardo Rojas",9250,"Ausonia y Bruzone = Almaceneros","13 Reg - ",-31.33213,-64.29284
"C1600","Ricardo Rojas",9100,"Bruzone y Seeber = Almaceneros","13 Reg - ",-31.33456,-64.29219
"C1601","Manuel de Falla",7388,"Ricardo Rojas y Vinter = Almaceneros","13 Reg - D10 Reg - ",-31.33618,-64.29028
"C1602","Manuel de Falla",7300,"Ricardo Rojas y Vinter = Almaceneros","13 Reg - D10 Reg - ",-31.33711,-64.2903
"C1603","Manuel de Falla",7100,"Vinter y Arias = Almaceneros","13 Reg - D10 Reg - ",-31.33897,-64.29037
"C1604","Manuel de Falla",6863,"Vinter y Arias = Almaceneros","13 Reg - D10 Reg - ",-31.33991,-64.29036
"C1605","Entrada Warcalde",9999,"Manuel de Falla y Zanon = Warcalde","19 Ida - ",-31.34097,-64.29087
"C1606","Zanon",9128,"Molino de Torres y Algarrobo","19 Ida - ",-31.34117,-64.29352
"C1607","Zanon",9300,"Los Algarrobos y De la Capilla","19 Ida - ",-31.34023,-64.29478
"C1608","Zanon",9468,"De la Capilla y Quintas de Cremader","19 Ida - ",-31.3391,-64.29629
"C1609","Zanon",9695,"La Gargola y Eloy Martinez","19 Ida - ",-31.3376,-64.2992
"C1610","Zanon",9963,"Pje Aguaducho y De la Aguada","19 Ida - ",-31.33567,-64.3029
"C1611","Zanon",9999,"De la Aguada y Alto Hermoso","19 Ida - ",-31.33455,-64.30474
"C1612","Zanon",9999,"Esquina con Ricardo Santos = Warcalde","19 Ida - ",-31.33345,-64.30656
"C1613","Ricardo Santos",9999,"Angualasto y Pampa de los Guanacos","19 Ida - ",-31.33461,-64.3098
"C1614","Ricardo Santos",9999,"Pampas de los Guanacos y Agualasto","19 Reg - ",-31.33461,-64.3098
"C1615","Ricardo Santos",9999,"Esquina con Zanon = Warcalde","19 Reg - ",-31.33333,-64.30745
"C1616","Zanon",10100,"Los Parlamentos y De la Aguada = Warcald","19 Reg - ",-31.3339,-64.30591
"C1617","Zanon",9931,"De la Aguada y Pje. Aguaducho","19 Reg - ",-31.33581,-64.30278
"C1618","Zanon",9695,"Eloy Martinez y Sin Datos = Warcalde","19 Reg - ",-31.33752,-64.29996
"C1619","Zanon",9500,"Frente Ex Banco Hipotecario Nacional","19 Reg - ",-31.33836,-64.29742
"C1620","Zanon",9400,"Quintas de Cremader y De la Capilla","19 Reg - ",-31.33931,-64.29611
"C1621","Zanon",9121,"Monseños D'amico y Molino Viejo","19 Reg - ",-31.34091,-64.29396
"C1622","Salida Warcalde",9999,"Esquina Manuel de Falla = Warcalde","19 Reg - ",-31.34103,-64.29099
"C1623","Martinolli",8911,"Manuel de Falla y Doering","13 Reg - 19 Reg - D10 Reg - ",-31.3427,-64.28934
"C1624","Martinolli",8819,"Di Francia y San Pedro Nolasco","13 Reg - 19 Reg - D10 Reg - ",-31.3445,-64.28675
"C1625","Martinolli",8711,"La Gilda y Padre Santiago Alberione","13 Reg - 19 Reg - D10 Reg - ",-31.34584,-64.28436
"C1626","Martinolli",8500,"Padre Santiago Alberione y Carolina","13 Reg - 19 Reg - D10 Reg - ",-31.34669,-64.2817
"C1627","Martinolli",8300,"Enquen y Viracocha","13 Reg - 19 Reg - D10 Reg - ",-31.34691,-64.27829
"C1628","Martinolli",8156,"Yupanqui y Curaquen","13 Reg - 19 Reg - D10 Reg - ",-31.347061,-64.275705
"C1629","Martinolli",8105,"Curaquen y Biutrago","13 Reg - 19 Reg - D10 Reg - ",-31.347178,-64.273731
"C1630","Martinolli",7900,"Barany y Sabin","13 Reg - 19 Reg - D10 Reg - ",-31.34737,-64.27111
"C1631","Martinolli",7707,"Richards y Garzon","13 Reg - 19 Reg - D10 Reg - ",-31.34751,-64.26821
"C1632","Martinolli",7415,"Ostwald y Heriberto Martinez","13 Reg - 19 Reg - D10 Reg - ",-31.34767,-64.26595
"C1633","Martinolli",7095,"Fernando Braun y Edison","13 Reg - 19 Reg - D10 Reg - ",-31.34797,-64.26184
"C1634","Martinolli",6939,"Cajal y Spemann","13 Reg - 19 Reg - D10 Reg - ",-31.34805,-64.26033
"C1635","Martinolli",6675,"Ferreyra y Lasalle","13 Reg - 19 Reg - D10 Reg - ",-31.34828,-64.25691
"C1636","Martinolli",6200,"Chagas y Neper","13 Reg - 19 Reg - D10 Reg - ",-31.34906,-64.2536
"C1637","Martinolli",5900,"Tyvho Brahe y Branly","13 Reg - 19 Reg - D10 Reg - ",-31.35027,-64.25129
"C1638","Gauss",5975,"Martinolli y Avogadro","13 Reg - 19 Reg - D10 Reg - ",-31.35246,-64.24928
"C1639","Gauss",5824,"Avogadro y Pascal","13 Reg - 19 Reg - D10 Reg - ",-31.35466,-64.25017
"C1640","Gauss",5713,"Pascal y Mariotte","13 Reg - 19 Reg - D10 Reg - ",-31.35599,-64.25072
"C1641","Gauss",5527,"Gay Lussac y Joule","13 Reg - 19 Reg - D10 Reg - ",-31.35817,-64.2516
"C1642","Gauss",5341,"Lagrange y Dalambert","13 Reg - 19 Reg - D10 Reg - ",-31.36048,-64.25252
"C1643","Gauss",5055,"Boyle y Berzelius","13 Reg - 19 Reg - D10 Reg - ",-31.36319,-64.25357
"C1644","Papin",5054,"Berzelius y Laplace","13 Reg - 19 Reg - D10 Reg - ",-31.36408,-64.25276
"C1645","Laplace",5184,"Papin y Fresnel","13 Reg - 19 Reg - D10 Reg - ",-31.36241,-64.25099
"C1646","Laplace",5419,"Henry y Lineo","13 Reg - 19 Reg - D10 Reg - ",-31.36122,-64.24866
"C1647","Laplace",5525,"Berthelot y Julio Vernes","13 Reg - 19 Reg - D10 Reg - ",-31.36014,-64.24605
"C1648","Laplace",5700,"Gay Lussac y Mariotte","13 Reg - 19 Reg - D10 Reg - ",-31.35903,-64.24359
"C1649","Laplace",5800,"Mariotte y Jeronimo Cardan","13 Reg - 19 Reg - D10 Reg - ",-31.35837,-64.24217
"C1653","Rafael Nuñez",4431,"De los Rios y Gavier","11 Ida - 12 Reg - 13 Reg - 15 Ida - 19 Reg - D10 Reg - ",-31.36694,-64.23444
"C1660","Rafael Nuñez",3660,"Jose Otero y Orma","11 Ida - 13 Reg - 19 Reg - D10 Reg - ",-31.37808,-64.22483
"C1663","Caraffa",2935,"Octavio Pinto y Galeano","10 Reg - 11 Ida - 12 Reg - 13 Reg - 15 Ida - 18 Ida - 19 Reg - D10 Reg - ",-31.38602,-64.21851
"C1669","Castro Barros",1527,"Copacabana y 6 de Julio","10 Reg - 11 Reg - 13 Reg - 14 Reg - 15 Reg - 17 Reg - 18 Ida - 19 Reg - D10 Reg - ",-31.39193,-64.20331
"C1672","Castro Barros",965,"Bialet Masse y Neuquen","10 Reg - 11 Ida - 12 Reg - 13 Reg - 14 Ida - 15 Ida - 17 Ida - 18 Ida - 19 Reg - D10 Reg - ",-31.39652,-64.20037
"C1674","Castro Barros",417,"Santa Fe y Coronel Olmedo","13 Reg - 19 Reg - D10 Reg - ",-31.40118,-64.19656
"C1681","Hipolito Irigoyen",57,"San Juan y Montevideo","67 Reg - 13 Reg - 16 Reg - 18 Ida - 19 Reg - D10 Reg - ",-31.42101,-64.18849
"C1682","Hipolito Irigoyen",175,"Obispo Trejo y San Luis","67 Reg - 13 Reg - 16 Reg - 18 Ida - 19 Reg - D10 Reg - ",-31.42281,-64.18756
"C1697","Borda",9999,"Ornstein y Revello","12 Reg - 14 Ida - 17 Ida - ",-31.31725,-64.26032
"C1698","Furlong",9053,"Borda y Ibarguren","12 Reg - ",-31.31725,-64.2591
"C1699","Furlong y Yaven",8960,"Ibarguren y Sin Datos","12 Reg - ",-31.31848,-64.25827
"C1700","Yaben",6900,"Furlong y Revello","12 Reg - ",-31.3201,-64.25715
"C1703","Pizzolatto",7036,"Menditeguy y Giannini","12 Reg - ",-31.32191,-64.25813
"C1704","Pizzolatto",7144,"Gianini y Hnos Grimm","12 Reg - ",-31.32138,-64.25965
"C1705","Malalco",7050,"Pizzolatto y Pillahuenu","12 Reg - ",-31.32137,-64.26108
"C1706","Malalco",7184,"Chapisgasta y Tabacue","12 Reg - ",-31.32212,-64.26251
"C1707","Malalco",7350,"Kawall y Matra","12 Reg - ",-31.32313,-64.26449
"C1708","Malalco",7288,"Liencura y Fangio","12 Reg - ",-31.32387,-64.26594
"C1709","Fangio",8350,"Wieland y Miguel Marin","12 Reg - ",-31.32536,-64.26563
"C1710","Beta",7405,"Fagio y Artagoveitia","12 Reg - ",-31.32566,-64.26404
"C1711","Beta",7164,"Carlos Lusso y Fabio Pessatti","12 Reg - ",-31.32559,-64.26015
"C1712","Massetti",8260,"Bizio y Risatti","12 Reg - ",-31.32648,-64.26023
"C1713","Massetti",8152,"Risatti y Cubillos","12 Reg - ",-31.32818,-64.26113
"C1714","Massetti",8071,"Cubillos y Benajele","12 Reg - ",-31.32905,-64.26157
"C1715","Massetti",7955,"Benajele y Cordoba","12 Reg - ",-31.33045,-64.26232
"C1716","Donato Alvarez",7500,"Milone y Pozo de la Loma","12 Reg - ",-31.33322,-64.26232
"C1717","Donato Alvarez",7413,"Frente Arguello Junior","12 Reg - ",-31.33594,-64.2618
"C1719","Donato Alvarez",7139,"Descotte y Blas Pascal","11 Reg - 12 Reg - 15 Reg - ",-31.33867,-64.25731
"C1720","Rafael Nuñez",6500,"Frente CPC","11 Ida - 12 Reg - ",-31.34107,-64.25465
"C1728","Rafael Nuñez",4775,"Avila y Zarate y Candonga","10 Reg - 11 Ida - 12 Reg - 13 Reg - 15 Ida - 17 Ida - 18 Ida - 19 Reg - D10 Reg - ",-31.36041,-64.23854
"C1732","Rafael Nuñez",4300,"Gavier y Jose Roque Funes","11 Ida - 12 Reg - 15 Ida - ",-31.36809,-64.23352
"C1737","Rafael Nuñez",3660,"Perez de Herrera y de Angelis","12 Reg - 15 Ida - ",-31.37685,-64.22593
"C1744","Caraffa",2313,"Alonso de Rivera y Juan Posse","10 Reg - 11 Ida - 12 Reg - 13 Reg - 14 Ida - 15 Ida - 17 Ida - 18 Ida - 19 Reg - D10 Reg - ",-31.38868,-64.2104
"C1745","Caraffa",2051,"Juan de la Serna y Progreso","10 Reg - 11 Ida - 12 Reg - 13 Reg - 14 Ida - 15 Ida - 17 Ida - 18 Ida - 19 Reg - D10 Reg - ",-31.38962,-64.20742
"C1749","Castro Barros",1125,"Galan y Bialet Masse","10 Reg - 11 Ida - 12 Reg - 13 Reg - 14 Ida - 15 Ida - 17 Ida - 18 Ida - 19 Reg - D10 Reg - ",-31.39541,-64.2014
"C1756","Colon",445,"Jujuy y Sucre","11 Ida - 12 Reg - ",-31.41183,-64.18932
