"stop_id","stop_name","stop_calle","stop_numero","stop_entre","stop_lat","stop_lon"
3139,"C3139","Rufino Varela Ortiz",2050,"Aconcagua y Uritorco",-31.433431,-64.236952
3140,"C3140","Maestro Vidal",1830,"Pinedo y Buchardo",-31.430339,-64.23022
3141,"C3141","Maestro Vidal",1678,"Gomez Carrillo y Alberto Williams",-31.428185,-64.229657
3142,"C3142","Maestro Vidal",1488,"Luis Agote y Hector Paniza",-31.424931,-64.22875
3143,"C3143","Maestro Vidal",1284,"Verdi y Rogatis",-31.422584,-64.228179
3144,"C3144","Maestro Vidal",1130,"Peredo y Albeniz",-31.419396,-64.227277
3145,"C3145","Pueyrredon",1950,"Ing. Lopez y Ocaña",-31.420206,-64.214583
3146,"C3146","Pueyrredon",2350,"Punta Lara y Vieytes",-31.41972,-64.217861
3147,"C3147","Pueyrredon",2650,"Olegario Correa y Brown",-31.419783,-64.220987
3150,"C3150","Reconquista",3611,"Diaz de la Fuente y Fleming",-31.43763,-64.23623
3151,"C3151","Reconquista",3777,"Graham Bell y Varela Ortiz",-31.43765,-64.23843
3152,"C3152","Reconquista",3918,"Maria Courie y Luis Pasteur",-31.43766,-64.24019
3153,"C3153","Fournier",2511,"Esmeralda y Reconquista",-31.438,-64.24179
3154,"C3154","Fournier",2615,"Antartida y Octaviano Navarro",-31.43925,-64.24179
3155,"C3155","Diamante",4100,"Maria Courie y Fournier",-31.44064,-64.24167
3156,"C3156","Diamante",3380,"Varela Ortiz y Luis Pasteur",-31.44064,-64.23884
3200,"C3200","Donosa",,"Totoral y Olta",-31.452821,-64.269166
3201,"C3201","Donosa",,"Virgenes y El Alto",-31.4528,-64.264784
3202,"C3202","Donosa",,"Ballester y Villa Angela",-31.45244,-64.257024
3203,"C3203","Alto Alegre",,"Zuloaga y Bradley",-31.423573,-64.263863
3204,"C3204","Alto Alegre",,"Cattaneo y Sgto. Gomez",-31.420713,-64.263729
3205,"C3205","Necuñan",,"Pincen y San Hueque",-31.416492,-64.258856
3210,"C3210","Donosa",,"Ballester y Villa Angela",-31.45244,-64.257024
3211,"C3211","Donosa",,"Virgenes y El Alto",-31.4528,-64.264784
3212,"C3212","Donosa",,"Totoral y Olta",-31.452821,-64.269166
3213,"C3213","Necuñan",,"Pincen y San Hueque",-31.416492,-64.258856
