stop_lat,stop_numero,stop_code,stop_calle,stop_entre,stop_lon,stop_esquina,stop_id,stop_desc,stop_name
-31.4114996206,248,,Santa Rosa,,-64.1860136721,,6150,,Santa Rosa 248
-31.410248568,534,,Santa Rosa,,-64.1900319318,,6151,,Santa Rosa 534
-31.4092743582,798,,Santa Rosa,,-64.1932759885,,6152,,Santa Rosa 798
-31.4094718458,251,,Nicolás Avellaneda,,-64.1951552024,,6153,,Nicolás Avellaneda 251
-31.4088968865,1140,,Avenida Colón,,-64.1986011459,,6154,,Avenida Colón 1140
-31.4075997079,1476,,Avenida Colón,,-64.2030480159,,6155,,Avenida Colón 1476
-31.4061998151,1870,,Avenida Colón,,-64.2079385482,,6156,,Avenida Colón 1870
-31.4052981215,2144,,Avenida Colon,,-64.2108600688,,6157,,Avenida Colon 2144
-31.4041175406,2486,,Avenida Colón,,-64.2145547881,,6158,,Avenida Colón 2486
-31.4031626141,2742,,Avenida Colón,,-64.217608908,,6159,,Avenida Colón 2742
-31.4020795905,3044,,Avenida Colón,,-64.22103494,,6160,,Avenida Colón 3044
-31.4013104452,3268,,Avenida Colón,,-64.2234592741,,6161,,Avenida Colón 3268
-31.400473798,243,,Domingo Zipoli,,-64.2251297158,,6162,,Domingo Zipoli 243
-31.4034957364,2708,,Av Colón,,-64.2174440977,,6163,,Av Colón 2708
-31.4071834249,1649,,Av Colón,,-64.2054859182,,6164,,Av Colón 1649
-31.4082452654,1369,,Av Colón,,-64.2016408772,,6165,,Av Colón 1369
-31.4095586991,1041,,Av Colón,,-64.197221593,,6166,,Av Colón 1041
