route_id,start_time,headway_secs,end_time,service_id
600,06:00:00,900,08:30:00,H
600,08:30:00,1200,12:00:00,H
600,12:00:00,900,13:30:00,H
600,13:30:00,1200,18:30:00,H
600,18:30:00,900,21:30:00,H
600,21:30:00,1200,22:30:00,H
600,22:30:00,1800,25:00:00,H
601,05:00:00,1200,06:00:00,H
601,06:00:00,900,08:30:00,H
601,08:30:00,1200,12:00:00,H
601,12:00:00,900,13:30:00,H
601,13:30:00,1200,18:30:00,H
601,18:30:00,900,21:30:00,H
601,21:30:00,1200,22:30:00,H
601,22:30:00,1800,25:00:00,H
61,05:00:00,1500,06:00:00,H
61,06:00:00,1200,08:30:00,H
61,08:30:00,1500,12:00:00,H
61,12:00:00,1200,13:30:00,H
61,13:30:00,1500,18:30:00,H
61,18:30:00,1200,21:30:00,H
61,21:30:00,1500,22:30:00,H
61,22:30:00,1800,25:00:00,H
62,01:00:00,7200,05:00:00,H
62,05:00:00,900,06:00:00,H
62,06:00:00,600,08:30:00,H
62,08:30:00,900,12:00:00,H
62,12:00:00,600,13:30:00,H
62,13:30:00,900,18:30:00,H
62,18:30:00,600,21:30:00,H
62,21:30:00,900,22:30:00,H
62,22:30:00,1800,25:00:00,H
63,05:00:00,1200,06:00:00,H
63,06:00:00,1020,08:30:00,H
63,08:30:00,1200,12:00:00,H
63,12:00:00,1020,13:30:00,H
63,13:30:00,1200,18:30:00,H
63,18:30:00,1020,21:30:00,H
63,21:30:00,1200,22:30:00,H
63,22:30:00,1800,25:00:00,H
64,01:00:00,7200,05:00:00,H
64,05:00:00,1200,06:00:00,H
64,06:00:00,900,08:30:00,H
64,08:30:00,1200,12:00:00,H
64,12:00:00,900,13:30:00,H
64,13:30:00,1200,18:30:00,H
64,18:30:00,900,21:30:00,H
64,21:30:00,1200,22:30:00,H
64,22:30:00,1800,25:00:00,H
65,01:00:00,7200,05:00:00,H
65,05:00:00,1200,06:00:00,H
65,06:00:00,840,08:30:00,H
65,08:30:00,1200,12:00:00,H
65,12:00:00,840,13:30:00,H
65,13:30:00,1200,18:30:00,H
65,18:30:00,840,21:30:00,H
65,21:30:00,1200,22:30:00,H
65,22:30:00,1800,25:00:00,H
66,05:00:00,1200,06:00:00,H
66,06:00:00,960,08:30:00,H
66,08:30:00,1200,12:00:00,H
66,12:00:00,960,13:30:00,H
66,13:30:00,1200,18:30:00,H
66,18:30:00,960,21:30:00,H
66,21:30:00,1200,22:30:00,H
66,22:30:00,1800,25:00:00,H
67,05:00:00,1200,06:00:00,H
67,06:00:00,900,08:30:00,H
67,08:30:00,1200,12:00:00,H
67,12:00:00,900,13:30:00,H
67,13:30:00,1200,18:30:00,H
67,18:30:00,900,21:30:00,H
67,21:30:00,1200,22:30:00,H
67,22:30:00,2700,25:00:00,H
68,05:00:00,2700,06:00:00,H
68,06:00:00,1500,08:30:00,H
68,08:30:00,2700,12:00:00,H
68,12:00:00,1500,13:30:00,H
68,13:30:00,2700,18:30:00,H
68,18:30:00,1500,21:30:00,H
68,21:30:00,2700,22:30:00,H
70,01:00:00,3600,05:00:00,H
70,05:00:00,780,06:00:00,H
70,06:00:00,480,08:30:00,H
70,08:30:00,780,12:00:00,H
70,12:00:00,480,13:30:00,H
70,13:30:00,780,18:30:00,H
70,18:30:00,480,21:30:00,H
70,21:30:00,780,22:30:00,H
70,22:30:00,1200,25:00:00,H
71,01:00:00,7200,05:00:00,H
71,05:00:00,1020,06:00:00,H
71,06:00:00,720,08:30:00,H
71,08:30:00,1020,12:00:00,H
71,12:00:00,720,13:30:00,H
71,13:30:00,1020,18:30:00,H
71,18:30:00,720,21:30:00,H
71,21:30:00,1020,22:30:00,H
