stop_id,stop_calle,stop_numero,stop_frente,stop_esquina,stop_entre_a,stop_entre_b,stop_lat,stop_lon
4339,Carlos Becu,3014,,,Javier Diaz,Palacios,-31.44718735235653,-64.18848268897692
4336,Velez Sarsfield,254,,,Caseros,Duarte Quirós,-31.41823056211056,-64.18804550155127
4337,Hipolito Irigoyen,660,,,Plaza España,Crisol,-31.42795333262803,-64.18526385327043
4334,Colón,352,,,Sucre,Tucumán,-31.4123613788475,-64.18786407520736
4335,Velez Sarsfield,84,,,Dean Funes,27 de Abril,-31.41604180860568,-64.18714793628249
4332,Federico Brandsen,153,,,Tomas Guido,Martin Garcia,-31.39715351777963,-64.19703185258916
4333,Colón,657,,,Fragueiro,Marcelo T de Alvear,-31.41110495906061,-64.19211993214523
4330,Tomás Guido,1209,,,Pasaje Cuenca,Galan,-31.39327549559536,-64.1989011206355
4331,Tomás Guido,1045,,,Obispo Clara,Obispo Ceballos,-31.39508075401873,-64.19773833191947
4208,Av La Voz del Interior,5507,,Aguas Cordobesas,Los Rusos,Circunvalacion,-31.35087811177801,-64.20317924506038
4209,Monseñor Pablo Cabrera,4935,,,Mojica,Acevedo,-31.35747555419302,-64.20341398735587
4202,Los Latinos,3417,,,Sta Catalina,Los Calabreses,-31.34124663270289,-64.21626107837128
4203,Los Latinos,6215,,,De los Lombardos,De los Alemanes,-31.34310166364185,-64.21625377165425
4200,Bs As,3492,,,Av La Voz del Interior,Los Latinos,-31.33878376560666,-64.21595044447758
4201,Los Latinos,6647,,,Bs As,Sta Catalina,-31.34019345170924,-64.21623046550002
4206,Av La Voz del Interior,6177,,,Los A lemanes,Los Rusos,-31.34356689381471,-64.20785497080034
4207,Av La Voz del Interior,5931,,,Los A lemanes,Los Rusos,-31.34620881627637,-64.20620676419935
4204,Los A lemanes,3223,,,Los Latinos,Av La Voz del Interior,-31.34335958692703,-64.21317352878957
4205,Los A lemanes,2985,,,Los Latinos,Av La Voz del Interior,-31.3433185781863,-64.21052973014132
5568,Capdevila,2219,,,Celestino Vidal,Manuel de Escalada,-31.37889841185159,-64.14129719384181
5569,Capdevila,2015,,Díaz Colodrero,Madre Pastorino,Díaz Colodrero,-31.37948313025642,-64.14441431032404
5564,Alsina,2534,,Vilches y Montoya,Leon y Pizarro,Vilches y Montoya,-31.37956704528776,-64.1332015839431
5565,Alsina,2790,,,Palencia,Capdevila,-31.37781611014569,-64.13321658973351
5566,Capdevila,2605,,Edison,Heroes de Ayohuma,Edison,-31.37764710937613,-64.13445833932494
5567,Capdevila,2419,,Julio de Vedia,Heroes de Vilcapujio,Julio de Vedia,-31.37826799901935,-64.13796804436006
5560,Av. Las Malvinas,,2993,,Altolaguirre,Alsina,-31.38886057127485,-64.13367967118324
5561,Alsina,1770,,Gil de Taboada y Lemos,Ramon de Carasa,Gil de Taboada y Lemos,-31.38762272609758,-64.13329636628258
5562,Alsina,2030,,,Isasmendi,Villacorta Ocaña,-31.38475085446794,-64.13328023694113
5563,Alsina,2292,,José de Medeiros,Archondo,José de Medeiros,-31.38257564446726,-64.13327215215352
4116,Maestro López,,,Instituto Hellen Keller,,,-31.44000048456126,-64.19280727710114
4117,Maestro López,,,Universidad Tecnológica,,,-31.44207866234456,-64.19384256361116
4114,Haya de la Torre,,,Cs Quimicas,Enrique Barros,Medina Allende,-31.43819211181629,-64.189541531114
4115,Haya de la Torre,,,Medina Allende,,,-31.43738677996482,-64.19201860913168
4112,Enrique Barros,,,,Los Nogales,Haya de la Torre,-31.43459326125729,-64.18773848882617
4113,Enrique Barros,,,Pabellón Perú,Los Nogales,Haya de la Torre,-31.43620548867976,-64.18827200076721
4110,Concepcion Arenales,772,,,Thays,Chile,-31.43146172949762,-64.18442389530951
4111,Los Nogales,,,Cs Información,Valparaiso,Enrique Barros,-31.43354172826943,-64.18555545546353
4118,Uladislao Frías,,,Belardinelli,,,-31.44335885593009,-64.19310756637043
4119,Uladislao Frías,526,,,Belardinelli,Valparaiso,-31.44275733338679,-64.18813048179715
5012,Luis Burela,1323,,,Entre Ríos ,San Jerónimo,-31.42481712812348,-64.11292398432477
5013,San Jerónimo,5558,5558,,Benjamín Viel,Lola Mora,-31.42445671616929,-64.11460578386999
4062,Roberto Cayol,3234,,,Piacenza,Camaño Bazan,-31.36053007566648,-64.21522057892281
4063,Roberto Cayol,3312,,,Camaño Bazan,Pagano,-31.36023066091557,-64.21736664318692
4060,Santiago Baravino,4448,,,Garat,Fatone,-31.36172889330552,-64.21282859601844
4061,Santiago Baravino,4590,,,Fatone,Cayol,-31.36098638507266,-64.21323361608574
4066,Roberto Cayol,3879,,Julio Cortazar,Essain,Julio Cortazar,-31.35922478911234,-64.22399990950953
4067,Spilimbergo,4662,,,Roberto Cayol,Buffo,-31.35810074947955,-64.2257287027427
4064,Roberto Cayol,3396,,,Camaño Bazan,Pagano,-31.36002010724325,-64.21880005074567
4065,Roberto Cayol,3675,,Caminos,Bernadez,Caminos,-31.35965156201716,-64.22109441879915
4068,Enrique Borla,3950,,,Spilimbergo,Manuel Gutierrez,-31.35677783830796,-64.22652669133419
